source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank,lr_means,cellphone_pvals
3,2,VIM,CD44,0.00017262396526866565,0.0130012172966546,1.7616007,0.0
2,5,APP,CD74,0.00047857355419601285,0.0171390907837315,1.6336946,0.0
1,2,VIM,CD44,0.00047857355419601285,0.17879891905993306,1.7061567,0.0
5,2,VIM,CD44,0.0009361667437634129,0.17879891905993306,1.6496775,0.0
4,2,VIM,CD44,0.0015445035719492636,0.24126474406639692,1.5430603,0.0
4,2,TIMP2,CD44,0.001904919612392357,0.00010827958630321239,1.5407679,0.0
2,1,APP,CD74,0.001904919612392357,0.17879891905993306,1.527679,0.0
4,4,A2M,LRP1,0.002302684076731962,5.1197894273423045e-05,2.509584,0.0
3,5,VIM,CD44,0.006815843621399175,0.17879891905993306,1.5578778,0.0
2,3,APP,CD74,0.008309743078842071,0.02923853221581183,1.4016635,0.0
1,5,VIM,CD44,0.008309743078842071,0.8617459504027646,1.5024337,0.0
3,4,VIM,CD44,0.009110915519365083,0.1934005121825964,1.5493312,0.0
2,2,APP,CD74,0.009110915519365083,0.3295191048200923,1.3900603,0.0
5,5,VIM,CD44,0.0099480864407522,0.6305864945313637,1.4459544,0.0
1,4,VIM,CD44,0.011729973745107954,1.0,1.4938871,0.0
1,1,GAS6,AXL,0.013138667423234742,0.4868117419246078,0.18760723,0.0
2,4,APP,CD74,0.01365450502988774,0.22499216943219938,1.3167944,0.01
5,4,VIM,CD44,0.015720780333069943,0.7832153149986488,1.4374079,0.0
4,5,VIM,CD44,0.016806790753430202,0.8691667553917235,1.3393372,0.0
4,5,TIMP2,CD44,0.017927899692632972,0.0130012172966546,1.3370448,0.0
3,5,APP,CD74,0.01908399465542554,0.607501122242846,1.1932976,0.22
1,5,APP,CD74,0.02027496314655521,1.0,1.1671504,0.36
4,4,VIM,CD44,0.02150069267076929,1.0,1.3307906,0.0
5,5,APP,CD74,0.02150069267076929,1.0,1.1411331,0.54
4,4,TIMP2,CD44,0.022761070732815074,0.0130012172966546,1.3284982,0.0
3,1,APP,CD74,0.02405598483743985,1.0,1.0872818,0.89
1,3,FAM3C,LAMP1,0.026238917717672314,1.0,0.1973604,0.99
1,1,APP,CD74,0.026748971193415634,1.0,1.0611346,0.95
5,1,APP,CD74,0.02814681845426123,1.0,1.0351174,0.99
2,3,LGALS3,ENG,0.02957875177667502,0.0006729821264700522,1.031582,0.0
3,1,VIM,CD44,0.02957875177667502,1.0,1.5205908,0.0
4,2,COL6A2,CD44,0.03104465866540431,0.0130012172966546,1.0264008,0.0
3,3,VIM,CD44,0.03254442662519641,0.4039531286165688,1.519241,0.0
4,2,THBS1,ITGA6,0.03564509577695821,4.944966760999177e-05,1.0045668,0.0
1,1,VIM,CD44,0.03724577197842251,1.0,1.4651467,0.0
1,2,LRPAP1,SORT1,0.03930080713093907,0.244203144919682,0.19565839,0.0
2,5,COPA,CD74,0.04224781714211661,0.21654016984474483,1.071113,0.0
3,3,APP,CD74,0.04224781714211661,1.0,0.9612665,1.0
1,3,VIM,CD44,0.04398146273227269,1.0,1.4637969,0.0
3,2,APP,CD74,0.04398146273227269,1.0,0.9496633,1.0
5,1,VIM,CD44,0.04574806943146999,1.0,1.4086674,0.0
1,3,APP,CD74,0.04574806943146999,1.0,0.93511933,1.0
5,3,VIM,CD44,0.04754752474445578,0.8609685855467425,1.4073176,0.0
2,5,LGALS3,ENG,0.04937971617597737,0.0130012172966546,0.92739195,0.0
1,2,APP,CD74,0.051244531230782056,1.0,0.92351604,1.0
2,1,CD99,CD81,0.05232439191066138,0.33151244878942715,0.20181635,0.0
4,2,COL3A1,DDR1,0.05314185741361714,0.0130012172966546,1.1381972,0.0
2,1,LGALS3,ENG,0.05314185741361714,0.0130012172966546,0.91310865,0.0
5,3,APP,CD74,0.05507158222922993,1.0,0.9091021,1.0
5,2,APP,CD74,0.05902777777777776,1.0,0.8974988,1.0
3,4,APP,CD74,0.063112217914404,1.0,0.8763974,1.0
1,4,LRPAP1,LRP1,0.06530972830446558,0.09856273540768275,0.2044321,0.0
4,1,VIM,CD44,0.06947736805506807,1.0,1.3020502,0.0
1,3,MMP2,PECAM1,0.0716622321038052,0.0130012172966546,0.8716184,0.0
4,1,TIMP2,CD44,0.0716622321038052,0.030425733870287987,1.2997578,0.0
2,1,COPA,CD74,0.07387848232804575,0.6600832944301506,0.9650973,0.0
4,3,VIM,CD44,0.07612600623253696,1.0,1.3007004,0.01
1,2,MIF,TNFRSF14,0.07825687255997796,1.0,0.20422417,0.97
4,3,TIMP2,CD44,0.0784046913220262,0.0024794270019524475,1.298408,0.0
1,2,COL3A1,DDR1,0.08542658874795482,0.026422507503078105,1.0107539,0.0
1,4,APP,CD74,0.08542658874795482,1.0,0.8502502,1.0
2,1,ADAM10,AXL,0.09116588092482496,0.25888802640554914,0.20945504,0.0
3,3,SPARC,ENG,0.09521855052716774,0.0130012172966546,0.8298363,0.0
2,4,LGALS3,ENG,0.10029654873564334,0.0130012172966546,0.86939126,0.0
2,3,COPA,CD74,0.10288065843621395,0.704207705925476,0.839082,0.49
5,2,MIF,TNFRSF14,0.1040368096466329,1.0,0.20833528,0.99
5,2,COL3A1,DDR1,0.10549469187400291,0.0130012172966546,0.93156505,0.0
1,1,MMP2,PECAM1,0.10813853655375744,0.02282795361942158,0.827423,0.0
2,3,PLA2G2A,ITGA5,0.1108120799802248,0.00016596750275033127,0.9005844,0.0
5,4,APP,CD74,0.1108120799802248,1.0,0.82423294,1.0
3,2,COL1A1,CD44,0.1135152096581524,0.0130012172966546,0.82417786,0.0
1,2,COL1A1,CD44,0.11624781309228747,0.17879891905993306,0.82302666,0.0
2,2,COPA,CD74,0.11624781309228747,1.0,0.82747865,0.65
1,1,FAM3C,LAMP1,0.11686971497302812,1.0,0.22295529,0.92
4,1,THBS1,ITGA6,0.12747071448584868,0.0130012172966546,0.82924634,0.0
2,2,LRPAP1,SORT1,0.129664653151637,0.17991931941129977,0.21298411,0.0
1,4,A2M,LRP1,0.13325608284330404,0.18687192716256848,1.0136261,0.0
3,2,COL3A1,DDR1,0.13915619635851367,0.0130012172966546,0.8533751,0.0
2,4,A2M,LRP1,0.14242168043008585,1.0,0.21574196,1.0
4,5,COL6A2,CD44,0.1451701550694561,0.13104110312465866,0.82267785,0.0
1,2,COL1A2,CD44,0.1451701550694561,0.17879891905993306,0.77707565,0.0
1,5,MMP2,PECAM1,0.14821954513519525,0.03290822560036505,0.76672995,0.0
1,2,COL6A2,CD44,0.15129705901410961,0.2914605827647231,0.76554805,0.0
3,2,TIMP3,CD44,0.15440258421094627,0.011638209689919504,0.76335585,0.0
5,3,LAMA4,CD44,0.15514085305600103,1.0,0.21963277,0.98
5,2,COL1A1,CD44,0.15753600823045272,0.2269409695823117,0.7554696,0.0
5,4,A2M,LRP1,0.160697218577376,0.11232274536026274,0.98477954,0.0
2,4,COPA,CD74,0.160697218577376,1.0,0.75421286,0.9
3,2,COL6A2,CD44,0.1638861027564637,0.0566870159950595,0.75311685,0.0
2,2,APP,TSPAN15,0.1671025482724629,0.013544761470276482,0.8721381,0.0
2,2,CD99,PILRB,0.1678222272770089,0.19890498780673677,0.2227117,0.0
5,2,COL1A2,CD44,0.17034644263012103,0.031648727581590784,0.7488158,0.0
5,3,MMP2,PECAM1,0.17691612788940306,0.01961326444377849,0.74000025,0.0
4,4,COL6A2,CD44,0.17691612788940306,0.1709531629877792,0.81413126,0.0
2,3,PLA2G2A,ITGAV,0.18024169380052157,0.0007598020920534695,0.8755603,0.0
2,5,ADAM9,ITGA6,0.18046585934073583,1.0,0.22080734,0.89
5,2,COL6A2,CD44,0.18359425857228823,0.3613771224183285,0.7289629,0.0
2,3,PLA2G2A,ITGA4,0.1869737097094502,0.00028583267470323276,0.8742021,0.0
3,5,SPARC,ENG,0.1869737097094502,0.028658132750335946,0.72564626,0.0
5,1,LAMA4,CD44,0.19307180549480812,1.0,0.22098266,0.99
4,2,COL1A1,CD44,0.1938128210989496,0.3893326674750291,0.7126731,0.0
4,2,THBS1,CD47,0.1972722563607816,0.001180623807061307,0.81027406,0.0
3,1,SPARC,ENG,0.1972722563607816,0.04438615058865569,0.71136296,0.0
2,2,PLA2G2A,ERBB3,0.20075812800699808,0.00028583267470323276,0.86971915,0.0
4,2,COL1A2,CD44,0.20075812800699808,0.23047292135631528,0.7106574,0.0
3,2,COL1A2,CD44,0.20427032354234653,0.0218719427934878,0.70395446,0.0
1,5,GRN,TNFRSF1A,0.20564012198685214,0.9147030925302264,0.22206466,0.38
2,2,SPINT1,ST14,0.2078087304715741,0.0005195350931629281,0.7028458,0.0
4,3,TNC,ITGA5,0.2113732362994282,0.00016596750275033127,0.73775357,0.0
5,1,MMP2,PECAM1,0.21496372853065598,0.09427027208691557,0.6958048,0.0
2,4,LRPAP1,LRP1,0.2181708650644943,0.05478971155838277,0.22175783,0.0
3,3,MMP2,PECAM1,0.21858009467000494,0.05478971155838277,0.68967044,0.0
2,1,PLA2G2A,ITGA4,0.22222222222222215,0.0018918561285836543,0.86392146,0.0
5,3,SPARC,ENG,0.22222222222222215,0.021405358115671153,0.684644,0.0
1,3,SPARC,ENG,0.22588999869205517,0.02331754379570446,0.6768254,0.0
4,2,COL6A1,CD44,0.22958331158425116,0.01961326444377849,0.67282784,0.0
3,4,CALR,LRP1,0.23066409097536084,0.9000346583553943,0.22246951,0.64
4,3,THBS1,ITGA4,0.2333020484035574,0.0006729821264700522,0.80044144,0.0
2,4,APP,LRP1,0.2370460966547211,0.0130012172966546,0.85381544,0.0
3,2,FN1,CD44,0.24081534384248982,0.01455702779869005,0.6664834,0.0
2,3,COL1A2,CD44,0.24311985596707816,1.0,0.22588894,1.0
4,3,CCN2,ITGA5,0.2446096774716107,0.0022406212352575564,0.7015256,0.0
3,2,COL4A1,CD44,0.24842898504683106,0.0130012172966546,0.6478163,0.0
4,2,COL6A1,ITGA6,0.2522731540728981,0.0130012172966546,0.6458397,0.0
3,4,SPARC,ENG,0.2522731540728981,0.10758572744443637,0.6676456,0.0
2,1,COL1A2,CD44,0.2555382162872727,1.0,0.2272388,1.0
3,1,MMP2,PECAM1,0.2561420720545593,0.07606247466649306,0.645475,0.0
1,2,COL6A3,CD44,0.26003562649656176,0.1602216833818034,0.64034975,0.0
3,2,FN1,ITGA6,0.26395370490365305,0.0130012172966546,0.63949525,0.0
5,5,MMP2,PECAM1,0.2678961947805802,0.14605631451197787,0.63511175,0.0
1,2,GRN,SORT1,0.2679192281835706,0.21151002632367272,0.2275031,0.0
2,2,APP,TNFRSF21,0.2718629836320907,0.0130012172966546,0.8460871,0.0
3,2,TIMP1,CD63,0.2718629836320907,0.05025479593255318,0.62601036,0.0
1,2,TIMP2,CD44,0.27585395896293174,0.9674887579393271,0.62514603,0.0
1,2,COL6A1,CD44,0.2798690082778507,0.17879891905993306,0.6227281,0.0
5,3,COL14A1,CD44,0.2802629479035985,1.0,0.22957629,1.0
4,2,FN1,CD44,0.2879708788789114,0.27110485325311673,0.62021136,0.0
1,5,COPA,CD74,0.2879708788789114,1.0,0.9842662,0.0
4,1,THBS1,ITGA4,0.29205747517454766,0.0017317593210724397,0.79016083,0.0
5,1,COL14A1,CD44,0.2925694316949824,1.0,0.23092617,0.99
4,1,COL6A2,CD44,0.30030142727976883,0.44938267815624494,0.78539085,0.0
4,5,THBS1,ITGA6,0.30445855809884825,0.014213514243061515,0.7894406,0.0
2,3,ADAM9,ITGAV,0.304838735805349,0.060629020402707415,0.23316643,0.0
4,4,THBS1,LRP1,0.30863897543523655,0.000853710464646462,0.78924584,0.0
2,2,VIM,CD44,0.31706921967892954,1.0,0.61125803,1.0
3,3,CALR,ITGAV,0.31707091648232444,1.0,0.23502329,0.85
4,3,COL6A2,CD44,0.3213188215957287,0.23047292135631528,0.784041,0.0
1,4,FAM3C,LAMP1,0.32926602997353516,0.9539973556390774,0.25337034,0.56
4,3,MMP2,PECAM1,0.32988642254296874,0.20639823765518966,0.60961187,0.0
2,2,FN1,CD44,0.3342041965829041,0.41888098895691517,0.60939515,0.0
4,2,COL4A1,CD44,0.3385444696733798,0.027523299061370264,0.60622597,0.0
2,3,ADAM10,CD44,0.3414241325266073,1.0,0.23419566,0.99
3,2,COL6A1,CD44,0.3429071293191427,0.01455702779869005,0.60244226,0.0
1,3,CD38,PECAM1,0.34729206302494037,0.0013055370116012682,0.6018431,0.0
1,2,COL6A1,ITGA6,0.3516991582955199,0.032273868762767464,0.59573996,0.0
2,2,CD55,ADGRE5,0.35354528038916755,1.0,0.2342978,0.01
4,2,FN1,ITGA6,0.3561283026356287,0.020946278640140797,0.5932232,0.0
5,2,TIMP3,CD44,0.3605793835500142,0.18707679921872206,0.58871496,0.0
3,2,COL4A2,CD44,0.36505228854342353,0.0130012172966546,0.58789575,0.0
2,1,ADAM10,CD44,0.365629529808842,1.0,0.23554555,1.0
3,5,MMP2,PECAM1,0.36954690512060384,0.18221491170031684,0.58478194,0.0
3,5,COL1A1,CD44,0.37406312078630277,0.40990144048158006,0.6204548,0.01
2,3,FAM3C,LAMP1,0.3776769370332571,1.0,0.23627976,0.9
3,1,COL4A1,CD44,0.378299101402921,0.5795426313126545,0.40680632,0.12
2,2,FN1,ITGA6,0.37860082304526743,0.16876499069049228,0.58240694,0.0
2,5,EFNB2,PECAM1,0.38161749574167925,0.13839603514418825,0.4147989,0.0
1,5,COL1A1,CD44,0.38315989940224526,1.0,0.61930364,0.01
3,4,APP,LRP1,0.3849552392639034,1.0,0.41341838,0.99
2,2,ADAM9,ITGA6,0.38831238821721703,0.0130012172966546,0.43593362,0.0
2,1,CD55,ADGRE5,0.3896875583100393,1.0,0.2365473,0.04
3,3,COL4A1,CD44,0.3916889988492483,0.6018302053969113,0.40545645,0.13
3,3,COL1A1,ITGA5,0.3923417244292291,0.015625,0.61944664,0.0
5,5,SPARC,ENG,0.39696424810872977,0.13468091736075524,0.5804539,0.0
1,3,COL1A1,ITGA5,0.39696424810872977,0.18221491170031684,0.6182955,0.0
3,2,COL6A1,ITGA6,0.4016076959052328,0.0130012172966546,0.5754541,0.0
1,4,CALR,LRP1,0.40166144988681474,0.5507207988590349,0.23811568,0.31
3,4,COL6A1,CD44,0.401936163293909,0.9381308015234506,0.39017266,0.52
5,4,PSAP,LRP1,0.40539118311707245,0.053859121900172786,0.423507,0.0
5,5,TIMP3,CD44,0.40539118311707245,0.7901234567901233,0.3849919,0.45
5,2,COL6A1,CD44,0.40627195532348526,0.3518447073616827,0.57472587,0.0
4,2,COL4A1,CD47,0.4088659458570845,0.02696869116099908,0.38494503,0.0
3,3,FN1,CD44,0.4088659458570845,1.0,0.42412356,0.79
3,4,A2M,LRP1,0.4109569138682348,0.9941354064226482,0.72501796,0.7
1,3,LGALS3,ENG,0.4123605077615722,1.0,0.43695128,0.94
1,1,COL6A3,CD44,0.4123605077615722,1.0,0.3993398,0.1
3,2,JAG1,NOTCH1,0.4135986680112099,0.10002560815910175,0.23840839,0.0
1,5,SPARC,ENG,0.4156624590442283,0.467816515452989,0.5726354,0.0
1,1,COPA,CD74,0.4156624590442283,1.0,0.8782505,0.11
3,5,COL4A2,CD44,0.41587492507816115,0.2944552763735703,0.38417274,0.06
3,5,FN1,ITGA6,0.41587492507816115,1.0,0.42436895,0.53
5,2,PSAP,SORT1,0.4194092540544787,0.17316254517217264,0.4147333,0.0
3,2,COL1A1,DDR1,0.4203884783562134,0.0130012172966546,0.6128769,0.0
5,2,FN1,CD44,0.4203884783562134,0.6665523548239598,0.5722289,0.0
4,4,SERPING1,LRP1,0.42296355093814997,0.001180623807061307,0.42707628,0.0
4,2,COL4A2,CD44,0.4251348593089371,0.03486749352232892,0.5710569,0.0
1,2,COL1A1,DDR1,0.4251348593089371,0.17879891905993306,0.61172575,0.0
2,3,PKM,CD44,0.4254992689308511,1.0,0.23999326,0.97
2,3,CALR,ITGAV,0.4265378719768021,0.03761438783730696,0.3847425,0.0
3,1,FN1,CD44,0.4265378719768021,1.0,0.42547342,0.83
3,2,TIMP2,CD44,0.42990148940714706,0.9302721574455112,0.569355,0.0
3,3,CCN2,ITGA5,0.4301322734180614,0.05962483472744234,0.38101947,0.0
4,4,COL4A1,CD44,0.4301322734180614,0.5227712011173687,0.39395636,0.27
1,3,COL6A3,CD44,0.433746811509554,0.45393912010319587,0.39798993,0.1
1,3,TIMP1,CD63,0.433746811509554,1.0,0.3909996,0.97
3,1,TIMP1,CD63,0.43468825615559026,0.1205632716049383,0.56728923,0.0
2,2,APP,NCSTN,0.43468825615559026,0.17879891905993306,0.83000946,0.0
2,5,GRN,TNFRSF1A,0.4373633088933647,0.6189630917641062,0.24304247,0.07
3,2,NID1,PTPRF,0.43738154249890593,0.0130012172966546,0.38764203,0.0
5,4,COL5A1,SDC3,0.43738154249890593,0.0130012172966546,0.3804419,0.0
1,2,APP,TSPAN15,0.43738154249890593,1.0,0.4055938,0.99
5,1,SPARC,ENG,0.43949504705901404,0.3691483956401895,0.5661706,0.0
3,4,COL1A1,CD44,0.43949504705901404,0.5578798963572627,0.61190826,0.06
4,3,COL6A1,CD44,0.44103652263374454,0.8397684389831325,0.43046802,0.16
1,2,THBS1,ITGA6,0.4443217496221658,0.05113837558628126,0.5660166,0.0
1,4,COL1A1,CD44,0.4443217496221658,1.0,0.61075705,0.04
2,2,MIF,TNFRSF14,0.4447118081616959,0.0253550703851818,0.41719726,0.0
4,5,COL6A1,ITGA6,0.4447118081616959,0.3387981647240275,0.43071342,0.01
5,2,APP,TSPAN15,0.4447118081616959,1.0,0.37957656,1.0
3,2,APP,TNFRSF21,0.44840745533038506,1.0,0.40569,0.99
1,1,THBS1,ITGA6,0.44840745533038506,1.0,0.3906961,0.07
1,2,SPON1,APP,0.449168251349793,0.09711596749564537,0.82881063,0.0
4,1,MMP2,PECAM1,0.449168251349793,0.3208049930234464,0.56541646,0.0
1,2,GRN,TNFRSF1A,0.449190844146377,1.0,0.24034531,0.1
2,4,FN1,CD44,0.45212352038743964,1.0,0.39712548,0.97
1,2,TIMP3,CD44,0.45403443974664265,0.3165298064224322,0.5653849,0.0
4,1,COL6A1,CD44,0.4558600595804857,1.0,0.4318179,0.22
2,2,APP,LRP10,0.45892020231746217,0.10451204838176296,0.827776,0.0
2,4,VIM,CD44,0.4596171291571496,1.0,0.39898843,1.0
2,2,ADAM10,NOTCH1,0.4609819309375144,0.4290037915992051,0.24094081,0.0
5,2,TIMP3,DDR1,0.46339478536505757,0.0130012172966546,0.37741402,0.0
4,2,PSAP,SORT1,0.46339478536505757,0.033551888222159126,0.45160052,0.0
5,2,TIMP1,CD63,0.4638254265669989,0.5472791551120517,0.5637852,0.0
4,3,TIMP1,CD63,0.46719308445183594,1.0,0.39485693,0.86
5,4,TIMP3,CD44,0.46719308445183594,1.0,0.37644535,0.71
5,2,LAMA4,CD44,0.4710120826651114,0.06801792790733119,0.46199262,0.0
2,3,ADAM15,ITGAV,0.4710120826651114,0.1155665151983218,0.37579995,0.0
1,4,APP,LRP1,0.4710120826651114,1.0,0.38727117,1.0
1,3,COL14A1,CD44,0.4727366255144032,1.0,0.24142954,0.93
1,2,C3,CD46,0.47485183625251026,0.12226431442253956,0.38686475,0.0
3,4,COL4A2,CD44,0.47485183625251026,0.4575504114680273,0.37562615,0.2
1,1,SPARC,ENG,0.4786567444353849,0.9700643264433186,0.55835205,0.0
1,5,COL1A2,CD44,0.4786567444353849,1.0,0.57335263,0.0
3,5,COL6A1,CD44,0.4787124014616583,0.7560347400890852,0.39871925,0.35
1,1,TIMP2,CD44,0.4787124014616583,1.0,0.38413602,0.98
2,2,COL3A1,DDR1,0.4787124014616583,1.0,0.3726789,1.0
2,3,ADAM15,ITGA5,0.4825938345401827,0.0310327123676375,0.40082413,0.0
5,1,COL6A1,ITGA6,0.4825938345401827,1.0,0.3724172,0.31
1,1,CD38,PECAM1,0.4836386904472632,0.0130012172966546,0.5576477,0.0
2,1,PKM,CD44,0.4844549841246699,1.0,0.24134314,0.97
3,1,COL6A1,ITGA6,0.4864961917357086,0.3575378244769062,0.4001336,0.07
1,2,THBS1,CD47,0.4904195292958635,0.5670676267636945,0.37172386,0.0
4,4,FN1,CD44,0.4904195292958635,1.0,0.40794176,0.87
4,2,TIMP1,CD63,0.493659167583128,0.32434487669956585,0.55283475,0.0
4,5,COL4A1,CD44,0.4943639034682734,0.34358994916797275,0.40250292,0.1
1,1,COL6A1,CD44,0.4943639034682734,1.0,0.38171816,0.67
5,5,COL6A1,CD44,0.4943639034682734,1.0,0.37100282,0.71
1,1,COL14A1,CD44,0.49613706301594074,1.0,0.2427794,0.93
1,2,NID1,PTPRF,0.4983293705005645,0.0130012172966546,0.4096178,0.0
1,3,TIMP2,CD44,0.4983293705005645,1.0,0.38278615,1.0
4,4,CCN2,LRP1,0.49869747371660933,0.00329099001276532,0.6639477,0.0
1,4,COL6A1,CD44,0.5023159866403639,1.0,0.4104585,0.36
5,1,FN1,ITGA6,0.5023159866403639,1.0,0.36992025,0.94
1,5,COL6A2,CD44,0.503754341566786,1.0,0.56182504,0.26
5,3,COL18A1,ITGA5,0.5063238081352971,0.0130012172966546,0.4053753,0.0
1,5,COL6A1,ITGA6,0.5063238081352971,1.0,0.38061368,0.27
5,3,LAMC1,CD44,0.5077829184358419,1.0,0.24301544,0.99
3,5,TIMP3,CD44,0.5088296586384055,0.06477313090136133,0.5596328,0.0
5,3,TIMP1,CD63,0.5103528912329897,1.0,0.40580738,0.93
4,1,FN1,CD44,0.5103528912329897,1.0,0.3792014,0.97
5,5,FN1,CD44,0.5103528912329897,1.0,0.3685059,1.0
5,5,COL1A1,CD44,0.5139233124362153,0.8182140093805002,0.5517466,0.34
2,5,FN1,CD44,0.51440329218107,1.0,0.40567207,0.97
1,3,COL6A1,CD44,0.51440329218107,1.0,0.3803683,0.7
4,5,COL4A2,CD44,0.5184750672271627,0.5227712011173687,0.3673339,0.27
2,3,SPARC,ENG,0.5184750672271627,1.0,0.42093533,0.4
1,4,TIMP2,CD44,0.5184750672271627,1.0,0.41287637,0.96
3,5,TIMP1,CD63,0.5190351904649624,0.1602216833818034,0.55100447,0.0
1,4,GAS6,AXL,0.519392606632,0.0130012172966546,0.25098383,0.0
2,5,VIM,CD44,0.5225682726188954,1.0,0.40753502,1.0
5,5,CD38,PECAM1,0.5266829646038939,0.025884662345611594,0.4308991,0.0
4,5,FN1,ITGA6,0.5266829646038939,1.0,0.37809694,0.91
1,4,COL5A1,SDC3,0.5308191994297841,0.0130012172966546,0.36618406,0.0
2,1,FN1,ITGA6,0.5308191994297841,1.0,0.40708643,0.77
5,1,LAMC1,CD44,0.5309661838520415,1.0,0.24436532,1.0
5,2,TIMP2,CD44,0.5344790449843015,1.0,0.5492608,0.0
1,2,PSAP,SORT1,0.534977033344193,0.10604053561571278,0.4729377,0.0
4,3,FN1,CD44,0.534977033344193,1.0,0.37785155,0.98
3,5,TIMP2,CD44,0.534977033344193,1.0,0.36563197,1.0
2,2,COL1A2,CD44,0.5391565225947468,1.0,0.46824878,0.92
1,2,TIMP1,CD63,0.5396626949842718,0.9596819803129746,0.54897743,0.0
1,4,COL1A2,CD44,0.5396626949842718,1.0,0.56480604,0.1
2,3,COL6A2,CD44,0.5425037063435924,1.0,0.2452178,1.0
5,2,NID1,PTPRF,0.5433577234290712,0.010589510962549661,0.4135085,0.0
4,3,CCN1,ITGA5,0.5448640067389157,0.004053541221262216,0.55123115,0.0
5,2,COL6A1,ITGA6,0.5448640067389157,0.023814967230605093,0.5477377,0.0
3,2,COL4A1,CD47,0.5475806920947939,0.0130012172966546,0.42653537,0.0
5,2,FN1,ITGA6,0.5500828677529808,0.09856273540768275,0.54524076,0.0
3,5,COL6A2,CD44,0.5500828677529808,1.0,0.54939383,0.32
2,4,CALR,LRP1,0.5518254848395397,0.0130012172966546,0.37218872,0.0
3,2,APP,TSPAN15,0.5518254848395397,1.0,0.431741,0.96
